historia	titulo	antes	despues
t1#0	Une boule sous le platane	Ils jouent à la pétanque le dimanche.	Ils jouent à la pétanque chaque dimanche.
t1#0	Une boule sous le platane	“Très près. C'est bien”, dit Hugo.	“Très près. Génial!”, dit Hugo.
t1#1	Deux carreaux pour Hugo	“C'est facile. Regarde, comme ça.”	“C'est facile. Tu tiens la boule comme ça.”
t1#1	Deux carreaux pour Hugo	“D'accord, je paie.	“Pas grave, je paie.
t1#1	Deux carreaux pour Hugo	Mais elle prend une boule et tire.	Mais elle prend une boule. Elle veut essayer.
t1#2	Si je gagne, tu restes	“D'accord”, dit Hugo.	“Avec plaisir”, dit Hugo.
t2#0	Théo écoute pour Léa	“Ce n'est pas facile ici.	“C'est difficile ici.
t2#1	La ligne coupe après Hugo	Léa ferme les yeux.	Léa ferme les yeux et retient ses larmes.
t2#1	La ligne coupe après Hugo	“Paris, c'est bien.	“Paris, c'est génial.
t2#2	Le torchon à la main	L'eau est chaude.	L'eau est tiède.
t3#0	Le fauteuil descend	“Je peux aider”, dit Chloé.	“Je peux aider. Je suis libre”, dit Chloé.
t3#0	Le fauteuil descend	Hugo part en mars.	Hugo déménage en mars.
t3#0	Le fauteuil descend	Elles portent le fauteuil ensemble.	Elles portent le fauteuil lentement, ensemble.
t3#2	Une goutte chaque nuit	“Mais je commence à comprendre.”	“Mais je commence à voir.”
t4#1	Vingt minutes, c'est long	Le matin, le quai du métro est plein.	Le matin, le quai du métro est plein et étroit.
t4#2	Les mots à l'envers	Il a raison.	Il a raison: c'est difficile.
t5#2	À toi la boule	Enfin, Hugo ouvre le paquet.	Enfin, Hugo ouvre le paquet, surpris.
t5#2	À toi la boule	Un chat dort sur le banc.	Un gros chat dort sur le banc.
t6#1	Une plante pour Léa	“Pourquoi moi?”, demande Léa.	“Pourquoi moi? Je suis occupée!”, demande Léa.
t7#0	À samedi, Hugo	Puis il monte dans la voiture.	Il monte dans la voiture.
t7#1	Clara tient la boule	Clara lance. Sa boule roule	Clara veut tirer. Sa boule roule
t7#2	Treize, comme avant	On parie le café?”	Tu paies le café?”
t7#2	Treize, comme avant	Personne ne joue exprès.	Personne ne perd exprès.
